,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
lactuca sativa,lactuca sativa,1810,4.97877572,0.5045771904590675,0.36564544404564514,0.15819209039548024,0.09040456692022754,0.83,2170,3421
lactuca sativa,lactuca sativa,1860,4.97877572,0.5058676263495541,0.35895704301616566,0.1576830249396621,0.09027819427589051,0.86,2170,3421
lactuca sativa,lactuca sativa,1910,4.97877572,0.504021939072331,0.3511564054784445,0.15705128205128205,0.09036821719144789,0.88,2170,3421
lactuca sativa,lactuca sativa,1960,4.97877572,0.49602611634446847,0.34118581237383694,0.15617529880478087,0.0909138717300322,0.9,2170,3421
lactuca sativa,lactuca sativa,2010,4.97877572,0.48627764808526697,0.33082815771086166,0.15518606492478226,0.09172390659992635,0.93,2170,3421
lactuca sativa,lactuca sativa,2060,4.97877572,0.45468616949314405,0.3123614974701578,0.153125,0.09489877056225382,0.95,2170,3421
lactuca sativa,lactuca sativa,2110,4.97877572,0.4355033460651783,0.2995022539777309,0.15146831530139104,0.09749194318474269,0.97,2170,3421
lactuca sativa,lactuca sativa,2160,4.97877572,0.41540142230022425,0.2870471794166756,0.14961832061068703,0.1007719444012736,1.0,2170,3421
malus domestica,malus domestica,10,1298.8266361644614,0.4166666666666667,0.7,0.5714285714285715,0.4,0.0,2190,3445
malus domestica,malus domestica,60,391.364345,0.5990180032733224,0.6083333333333334,0.3561643835616438,0.21666666666666667,0.03,2190,3445
malus domestica,malus domestica,110,257.6249158,0.6055555555555556,0.5909090909090909,0.3076923076923077,0.18181818181818182,0.05,2190,3445
malus domestica,malus domestica,160,194.6347554,0.6715328467153284,0.571875,0.2513661202185792,0.14375,0.07,2190,3445
malus domestica,malus domestica,210,154.24426,0.6814381270903009,0.5619047619047619,0.22033898305084745,0.12380952380952381,0.1,2190,3445
malus domestica,malus domestica,260,154.24426,0.7213479573994596,0.551923076923077,0.18815331010452963,0.10384615384615385,0.12,2190,3445
malus domestica,malus domestica,310,154.24426,0.7183089949687078,0.5467741935483871,0.1710914454277286,0.0935483870967742,0.14,2190,3445
malus domestica,malus domestica,360,154.24426,0.67134649244741,0.5458333333333333,0.16793893129770993,0.09166666666666666,0.16,2190,3445
